step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),keep_prob=0.1,keep_prob=0.2,keep_prob=0.3,keep_prob=0.4,keep_prob=0.5,keep_prob=0.6,keep_prob=0.7,keep_prob=0.8,keep_prob=0.9,keep_prob=1.0
900,900,900,900,900,900,900,900,900,900,0.09375,0.15625,0.390625,0.546875,0.59375,0.671875,0.75,0.640625,0.78125,0.734375
920,920,920,920,920,920,920,920,920,920,0.078125,0.15625,0.21875,0.53125,0.640625,0.703125,0.71875,0.6875,0.828125,0.859375
940,940,940,940,940,940,940,940,940,940,0.15625,0.0625,0.40625,0.75,0.6875,0.5,0.71875,0.71875,0.75,0.625
960,960,960,960,960,960,960,960,960,960,0.0625,0.09375,0.421875,0.75,0.65625,0.6875,0.703125,0.703125,0.765625,0.78125
980,980,980,980,980,980,980,980,980,980,0.140625,0.09375,0.21875,0.53125,0.71875,0.8125,0.65625,0.6875,0.71875,0.65625
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.125,0.078125,0.59375,0.6875,0.640625,0.640625,0.671875,0.734375,0.734375,0.6875
1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,0.140625,0.203125,0.34375,0.53125,0.734375,0.59375,0.734375,0.6875,0.875,0.765625
1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,0.109375,0.203125,0.484375,0.5625,0.703125,0.671875,0.71875,0.71875,0.734375,0.671875
1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,0.25,0.171875,0.4375,0.6875,0.671875,0.6875,0.78125,0.796875,0.6875,0.78125
1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,0.125,0.109375,0.40625,0.59375,0.71875,0.734375,0.765625,0.734375,0.765625,0.8125
1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,0.125,0.09375,0.40625,0.65625,0.78125,0.734375,0.625,0.765625,0.78125,0.828125
1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0.078125,0.09375,0.3125,0.640625,0.625,0.609375,0.890625,0.75,0.71875,0.8125
1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,0.078125,0.203125,0.453125,0.515625,0.703125,0.703125,0.6875,0.703125,0.71875,0.734375
1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,0.15625,0.09375,0.28125,0.5625,0.609375,0.59375,0.59375,0.703125,0.703125,0.765625
1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,0.109375,0.078125,0.390625,0.609375,0.609375,0.671875,0.734375,0.703125,0.859375,0.78125
1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0.140625,0.15625,0.359375,0.53125,0.515625,0.8125,0.8125,0.796875,0.734375,0.6875
1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,0.09375,0.21875,0.515625,0.53125,0.71875,0.640625,0.71875,0.734375,0.71875,0.765625
1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0.15625,0.171875,0.234375,0.625,0.71875,0.59375,0.75,0.78125,0.6875,0.765625
1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,0.140625,0.0625,0.375,0.5,0.765625,0.6875,0.78125,0.75,0.8125,0.734375
1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,0.09375,0.015625,0.3125,0.578125,0.78125,0.734375,0.71875,0.75,0.75,0.84375
1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,0.09375,0.171875,0.234375,0.625,0.765625,0.8125,0.8125,0.71875,0.734375,0.765625
1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,0.140625,0.1875,0.328125,0.640625,0.65625,0.78125,0.671875,0.8125,0.765625,0.84375
1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,0.09375,0.203125,0.375,0.734375,0.59375,0.734375,0.828125,0.78125,0.78125,0.765625
1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,0.125,0.109375,0.375,0.828125,0.640625,0.765625,0.765625,0.75,0.78125,0.78125
1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,0.0625,0.203125,0.453125,0.640625,0.671875,0.734375,0.8125,0.703125,0.6875,0.828125
1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,0.125,0.15625,0.4375,0.546875,0.765625,0.65625,0.796875,0.6875,0.828125,0.765625
1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,0.09375,0.171875,0.4375,0.65625,0.578125,0.609375,0.78125,0.828125,0.71875,0.71875
1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,0.09375,0.046875,0.53125,0.640625,0.640625,0.78125,0.71875,0.734375,0.6875,0.796875
1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,0.09375,0.171875,0.359375,0.8125,0.75,0.78125,0.640625,0.84375,0.75,0.859375
1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,0.1875,0.1875,0.359375,0.609375,0.71875,0.734375,0.734375,0.75,0.671875,0.71875
1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0.125,0.125,0.46875,0.765625,0.765625,0.703125,0.8125,0.6875,0.75,0.75
1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,0.09375,0.171875,0.359375,0.625,0.703125,0.6875,0.84375,0.8125,0.859375,0.765625
1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,0.078125,0.09375,0.40625,0.609375,0.703125,0.71875,0.828125,0.6875,0.75,0.75
1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,0.015625,0.140625,0.28125,0.6875,0.75,0.703125,0.640625,0.671875,0.796875,0.859375
1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,0.09375,0.15625,0.40625,0.5625,0.734375,0.765625,0.6875,0.671875,0.78125,0.828125
1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,0.0625,0.203125,0.4375,0.578125,0.578125,0.703125,0.609375,0.734375,0.765625,0.8125
1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,0.078125,0.25,0.328125,0.578125,0.6875,0.6875,0.734375,0.78125,0.75,0.8125
1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,0.125,0.140625,0.40625,0.703125,0.796875,0.703125,0.71875,0.734375,0.84375,0.8125
1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,0.125,0.25,0.40625,0.609375,0.71875,0.65625,0.734375,0.703125,0.875,0.859375
1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,0.140625,0.21875,0.546875,0.6875,0.671875,0.75,0.6875,0.71875,0.8125,0.828125
1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0.125,0.09375,0.1875,0.6875,0.671875,0.625,0.78125,0.71875,0.796875,0.875
1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,0.140625,0.125,0.515625,0.6875,0.796875,0.671875,0.6875,0.75,0.6875,0.78125
